case_name,cite,filename,date,court,state_fed,trial_appellate,jurisd_measure_enacted
"Church v. Polis, 2022 WL 200661",2022 WL 200661,46-Church-v-Polis_1.txt,1/24/2022,Appellate_10c,federal,appellate,Colorado
"Legacy Church v. Collins, 853 Fed.Appx. 316 (Mem)",853 Fed.Appx. 316,087-Legacy-Church-Inc-v-Collins.txt,7/16/2021,Appellate_10c,federal,appellate,New Mexico
"High Plains Harvest Church v. Polis, 835 Fed.Appx. 372",835 Fed.Appx. 372,082-High-Plains-Harvest-Church-v-Polis.txt,11/12/2020,Appellate_10c,federal,appellate,Colorado
"Andrew Wommack Ministries, Inc. v. Polis, 2020 WL 5983978",2020 WL 5983978,060-Andrew-Wommack-Ministries-Inc-v-Polis_1.txt,10/5/2020,Appellate_10c,federal,appellate,Colorado
"Case v. Ivey, No. 21-12276, 2022 WL 2441578 ",2022 WL 2441578,73-Case-v-Ivey_1.txt,7/5/2022,Appellate_11c,federal,appellate,Alabama
"Norwegian Cruise Line Holdings Ltd v. State Surgeon General, Florida Department of Health 50 F.4th 1126",50 F.4th 1126,002-Norwegian-Cruise-Line-Holdings-Ltd-v-State-Surgeon-General-Florida-Departm.txt,10/6/2022,Appellate_11c,federal,appellate,Florida
"Haim v. Monroe Cnty., 858 F. App'x 340 (11th Cir. 2021)",858 F. App'x 340,089-Haim-v-Monroe-County.txt,10/9/2021,Appellate_11c,federal,appellate,Florida
"Robinson v. Attorney General, 957 F.3d 1171",957 F.3d 1171,097-Robinson-v-Attorney-General.txt,4/23/2020,Appellate_11c,federal,appellate,Alabama
"Brown v. HHS Secretary, 20 F.4th 1385 (Mem)",20 F.4th 1385,44-Brown-v-Secretary-US-Department-of-Health-and-Human-Services_1.txt,12/29/2021,Appellate_11c,federal,appellate,Federal
"Brown v. HHS Secretary, 4 F.4th 1220",4 F.4th 1220,76-Brown-v-Secretary-US-Department-of-Health-and-Human-Services_1.txt,7/14/2021,Appellate_11c,federal,appellate,Federal
Georgia v. President of the United States 46 F.4th 1283,46 F.4th 1283,042-Georgia-v-President-of-the-United-States.txt,8/26/2022,Appellate_11c,federal,appellate,Federal
"Does 1-3 v. Mills, 2021 WL 4845812",2021 WL 4845812,028-Does-1-3-v-Mills.txt,10/15/2021,Appellate_1c,federal,appellate,Maine
"Does 1-6 v. Mills, 16 F.4th 20, 15 F.4th 683 (Mem)",15 F.4th 683 ,035-Terkel-v-Centers-for-Disease-Control-and-Prevention.txt,10/19/2021,Appellate_1c,federal,appellate,Maine
"Harris v. University of Massachusetts Lowell, 43 F.4th 187",43 F.4th 187,80-Harris-v-University-of-Massachusetts-Lowell.txt,8/4/2022,Appellate_1c,federal,appellate,Massachusetts
"Bayley's Campground, Inc. v. Mills II, 985 F.3d 153",985 F.3d 153,23-Bayley_s-Campground-Inc-v-Mills_1.txt,1/29/2021,Appellate_1c,federal,appellate,Maine
"Maxwell v. Austin, 2022 WL 1073007",2022 WL 1073007,64-Maxwell-v-Austin_1.txt,1/24/2022,Appellate_1c,federal,appellate,Federal
"Carlone v. Lamont, 2021 WL 5049455",2021 WL 5049455,040-Carlone-v-Lamont_1.txt,11/1/2021,Appellate_2c,federal,appellate,Connecticut
"Reale v. Lamont, 2022 WL 175489",2022 WL 175489,36-Reale-v-Lamont_1.txt,1/20/2022,Appellate_2c,federal,appellate,Connecticut
"DiMartile v. Cuomo, 834 Fed.Appx. 677 (Mem)",834 Fed.Appx. 677,081-DiMartile-v-Cuomo.txt,2/4/2021,Appellate_2c,federal,appellate,New York
"DiMartile v. Cuomo, 820 Fed.Appx. 62 (Mem)",820 Fed.Appx. 62,079-DiMartile-v-Cuomo.txt,9/8/2020,Appellate_2c,federal,appellate,New York
"Agudath Israel of America v. Cuomo, 979 F.3d 177 ",979 F.3d 177,14-Agudath-Israel-of-America-v-Cuomo.txt,11/9/2020,Appellate_2c,federal,appellate,New York
"Agudath Israel of America v. Cuomo, 983 F.3d 620",983 F.3d 620,20-Agudath-Israel-of-America-v-Cuomo_1.txt,12/28/2020,Appellate_2c,federal,appellate,New York
"Kane v. De Blasio, 19 F.4th 152",19 F.4th 152,43-Kane-v-De-Blasio_1.txt,11/28/2021,Appellate_2c,federal,appellate,New York
"36 Apartment Associates v. Cuomo, 860 Fed.Appx. 215 (Mem)",860 Fed.Appx. 215,090-36-Apartment-Associates-LLC-v-Cuomo.txt,7/16/2021,Appellate_2c,federal,appellate,New York
"National Rifle Association v. Hochul, 2021 WL 5313713",2021 WL 5313713,058-National-Rifle-Association-of-America-v-Hochul_1.txt,11/16/2021,Appellate_2c,federal,appellate,New York
"Lisa v. Blasio, 2022 WL 1216298",2022 WL 1216298,74-Lisa-v-Blasio_1.txt,4/21/2022,Appellate_2c,federal,appellate,New York
"Maniscalco v. New York City Dept of Education, 2021 WL 4437700",2021 WL 4437700,008-Maniscalco-v-New-York-City-Department-of-Education.txt,9/27/2021,Appellate_2c,federal,appellate,New York
"Maniscalco v. New York City Dept of Education, 2021 WL 4814767",2021 WL 4814767,026-Maniscalco-v-New-York-City-Department-of-Education_1.txt,10/15/2021,Appellate_2c,federal,appellate,New York
"Maniscalco v. New York City Dept of Education, 2021 WL 4397857",2021 WL 4397857,004-Maniscalco-v-New-York-City-Department-of-Education.txt,9/24/2021,Appellate_2c,federal,appellate,New York
"Chrysafis v. Marks, 15 F.4th 208",15 F.4th 208,25-Chrysafis-v-Marks_1.txt,9/29/2021,Appellate_2c,federal,appellate,New York
